"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.01,17.81,21.43,25.11,28.92,32.72,39.97,43.26,46.58,52.36,52.61,56.31,60.19,60.06,61.49,66.91,71.33,74.23,80.29,81.32,..
Albania,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.15,73.79,78.99,111.46,141.91,154.88,168.42,204.80,240.44,235.40,255.41,271.96,259.53,277.58,295.45,256.13,274.44,296.00,350.83,..,..,..,..
Algeria,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.12,67.34,66.95,76.24,93.02,101.30,117.43,151.78,207.85,208.94,230.06,288.31,336.67,333.16,361.16,292.92,262.13,259.65,257.85,250.56,214.85,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,286.86","1,336.06","1,486.01","1,772.51","1,989.83","2,214.39","2,139.00","2,489.11","3,046.02","3,024.99","3,796.65","3,956.99","3,029.51","3,056.73","3,113.92","2,729.94","2,796.62","2,910.02","3,188.00","3,061.79","3,336.92",..,..
Angola,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.00,28.93,29.05,34.87,49.78,54.21,69.77,92.84,135.63,120.03,96.66,121.91,121.80,142.89,130.74,107.64,94.11,112.85,83.90,69.38,50.74,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,519.13,571.11,557.90,612.15,596.07,639.24,662.72,711.56,691.21,606.90,720.92,714.00,749.94,735.49,822.39,784.65,812.51,785.47,849.83,801.54,830.34,..,..
Argentina,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,704.95,671.37,222.65,260.98,310.22,390.80,453.64,569.29,742.90,781.78,980.14,"1,202.56","1,361.99","1,415.21","1,280.61","1,525.05","1,149.31","1,525.59","1,122.47",958.52,863.71,..,..
Armenia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.31,31.41,58.27,65.35,70.64,94.27,123.41,168.48,259.55,246.34,290.27,324.66,332.84,395.71,408.88,370.93,366.23,418.86,439.43,549.47,551.54,..,..
Aruba,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,636.53","1,559.82","1,763.70","2,240.75","2,760.83","3,014.10","3,194.03","3,815.34","4,107.01","4,011.93","4,975.47","5,909.15","6,071.65","5,843.17","6,139.39","5,324.34","5,454.00","5,816.26","5,864.39","5,555.37","5,901.11",..,..
Austria,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,269.13","2,282.52","2,497.87","3,091.24","3,594.65","3,710.40","3,882.98","4,478.77","5,057.76","4,928.99","4,800.79","5,167.82","4,966.10","5,235.34","5,393.60","4,612.82","4,709.88","4,938.92","5,337.22","5,262.05","5,585.09","6,491.12",..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.98,18.99,20.36,23.52,27.04,34.60,49.48,74.09,105.24,126.95,142.61,172.40,217.79,234.24,260.83,220.98,153.22,151.61,165.02,191.76,191.23,..,..
