"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4121961673477","13.409768016935","12.5721104657913","19.7794237388895","24.0261423163839","26.6652789466491","31.7199402286683","35.9767351452351","36.5181234441684","39.5397245975918","46.5346735194904","51.0099104114699","49.1137489355609","46.4190859037672","46.3270782733653","43.7516152663715","39.735364918428","42.9930594380339","43.8237727501435","42.5701107143189","40.7366055709104","","",
"Afghanistan","AFG","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15160967","1.29700564","1.18617905","1.33553256","1.35533866","1.84962338","2.44655618","2.34359473","2.55007354","2.93559049","2.28442458","2.83484999","2.98555852","3.10637149","3.12218743","3.40957279","2.77333833","2.48787785","6.1311352","2.6857651","",
"Africa Western and Central","AFW","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.911436150487","5.02533565165365","4.59852251395181","6.78670245391834","9.28724925651656","11.0209591190626","11.5272967080422","12.0466382099005","13.2929826263974","11.8222605399872","12.096259820451","14.0895452192607","14.8892009374357","15.4847544075956","14.5450175766439","14.0591141249599","11.943236520311","11.9691743468394","12.8979582161077","13.5555984099139","16.1405355107648","","",
"Angola","AGO","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.56729501","13.20172034","11.41983361","14.4039654","21.16213143","24.30566207","37.51770133","53.74924084","87.28489787","81.23047577","60.04417522","78.94772675","79.4772744","88.63199818","70.80124092","50.9856203","41.53681468","52.22614463","35.776171","28.59054518","21.34275969","","",
"Albania","ALB","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.31434776","34.28399097","36.09972532","48.01524716","66.10404517","70.76800275","75.80714508","87.3863543","99.11933801","96.09203715","97.38150558","105.12741393","104.58325163","114.07607014","118.95859657","107.89847422","115.4272957","120.96013105","148.73204785","153.66560766","154.89765237","","",
"Andorra","AND","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","843.29629407","870.83270694","985.48795914","1135.53915058","1235.56181218","1423.15242563","1282.48086667","1486.33859998","1983.78973876","2050.34165019","2833.31038869","2923.38323132","2109.69798914","2148.82383185","2219.20375131","1975.57665032","2023.50867709","2103.71782873","2262.30161877","2193.69668623","2441.68305076","","",
"Arab World","ARB","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.2030699645598","65.3863061358029","63.9104896107991","62.2372716808719","67.9284966284429","76.673281993638","89.8942106396798","104.130705294503","122.591132631865","136.856905989307","138.971763799954","164.55285743756","173.347217055649","195.936435580545","216.374132443881","200.069217882415","209.057965940443","212.401108147409","220.087340017974","148.423873250145","156.549213494712","","",
"United Arab Emirates","ARE","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518.3453469","572.22633134","502.90020819","528.74468022","520.47190357","556.41959179","604.17721866","661.14250772","844.85498516","946.64991214","938.96161528","1086.89579271","1074.190591","1152.66533858","1175.55977789","1025.51687108","992.41150866","946.17659895","987.69230622","1015.12313865","1336.70153767","","",
"Argentina","ARG","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385.8288802","368.25933092","121.46786443","142.78991158","160.69074498","200.94817796","238.62477629","309.17850834","409.32963561","468.75522245","577.81536102","725.40137579","850.24868392","900.03306052","837.82365774","1017.41998184","713.85226553","964.15175706","704.5696963","613.20507784","572.37295185","","",
