Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
11,Lung,10000,Bulgaria,2,1,2000,6.558833829,12.82847042,,526
11,Lung,10000,Bulgaria,2,1,2001,6.212387823,12.46358335,,507
11,Lung,10000,Bulgaria,2,1,2002,6.268773933,12.78373829,,516
11,Lung,10000,Bulgaria,2,1,2003,6.259267574,12.50714917,,501
11,Lung,10000,Bulgaria,2,1,2004,6.687916975,13.78369113,,548
11,Lung,10000,Bulgaria,2,1,2005,7.966173495,16.26835385,,642
11,Lung,10000,Bulgaria,2,1,2006,7.034272698,14.29542569,,560
11,Lung,10000,Bulgaria,2,1,2007,7.630514266,15.99462663,,622
11,Lung,10000,Bulgaria,2,1,2008,7.365366862,15.56575027,,601
11,Lung,10000,Bulgaria,2,1,2009,7.375884626,15.28237314,,586
11,Lung,10000,Bulgaria,2,1,2010,6.877083706,14.93681779,,569
11,Lung,10000,Bulgaria,2,1,2011,7.964714577,17.22199227,,652
11,Lung,10000,Bulgaria,2,1,2012,8.503953948,18.73185103,,705
11,Lung,10000,Bulgaria,2,1,2013,7.808914285,17.77062321,,665
11,Lung,10000,Bulgaria,2,1,2014,8.871677824,19.8629697,,739
11,Lung,10000,Bulgaria,2,1,2015,8.910845806,19.87504411,,735
11,Lung,10000,Bulgaria,2,1,2016,8.408843975,19.10339235,,702
11,Lung,10000,Bulgaria,2,1,2017,8.698082416,20.35332607,,743
11,Lung,10000,Bulgaria,2,1,2018,9.588328987,22.06579413,,800
11,Lung,12400,Canada,2,1,2000,24.79547157,42.00553496,,6484
11,Lung,12400,Canada,2,1,2001,24.54682711,42.62306761,,6641
11,Lung,12400,Canada,2,1,2002,25.22087073,44.45949103,,6993
11,Lung,12400,Canada,2,1,2003,25.15661277,45.14897809,,7171
11,Lung,12400,Canada,2,1,2004,25.65025469,46.84740988,,7517
11,Lung,12400,Canada,2,1,2005,25.24269863,47.03780516,,7629
11,Lung,12400,Canada,2,1,2006,25.76538197,48.87964834,,8018
11,Lung,12400,Canada,2,1,2007,25.34680489,48.92584839,,8121
11,Lung,12400,Canada,2,1,2008,25.11224494,49.80821041,,8368
11,Lung,12400,Canada,2,1,2009,24.97451063,50.2231224,,8540
11,Lung,12400,Canada,2,1,2010,24.67396802,51.04686466,,8783
11,Lung,12400,Canada,2,1,2011,23.84569908,50.02818287,,8707
11,Lung,12400,Canada,2,1,2012,23.84906833,51.0577233,,8986
11,Lung,12400,Canada,2,1,2013,23.54519095,51.8168672,,9219
11,Lung,12400,Canada,2,1,2014,23.26725437,52.47726333,,9435
11,Lung,12400,Canada,2,1,2015,22.5952935,51.92007942,,9430
11,Lung,12400,Canada,2,1,2016,22.04116076,52.28766152,,9590
11,Lung,12400,Canada,2,1,2017,21.30217147,51.58822432,,9551
11,Lung,15200,Chile,2,1,2000,6.702644352,7.954648241,,620
11,Lung,15200,Chile,2,1,2001,7.155660969,8.538370524,,673
11,Lung,15200,Chile,2,1,2002,7.092749716,8.81103493,,702
11,Lung,15200,Chile,2,1,2003,6.917510282,8.769083936,,706
11,Lung,15200,Chile,2,1,2004,7.171260701,9.367144875,,762
11,Lung,15200,Chile,2,1,2005,7.563281894,9.963700015,,819
11,Lung,15200,Chile,2,1,2006,7.772277869,10.48530595,,871
11,Lung,15200,Chile,2,1,2007,7.744336025,10.74347849,,902
11,Lung,15200,Chile,2,1,2008,7.66395734,10.75900985,,913
11,Lung,15200,Chile,2,1,2009,7.71199138,11.04236677,,947
11,Lung,15200,Chile,2,1,2010,7.435322386,11.34379547,,983
11,Lung,15200,Chile,2,1,2011,8.15708047,12.08793205,,1058
