"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.52,15.33,18.11,19.83,22.22,25.58,30.14,31.48,36.80,38.36,39.19,40.57,43.97,47.08,46.71,50.50,54.37,57.03,60.07,62.79,..
Albania,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.76,36.25,40.17,53.06,66.77,75.02,81.82,105.03,135.19,135.37,153.11,164.43,152.68,160.51,174.66,146.42,156.58,170.09,198.19,..,..,..,..
Algeria,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.02,14.59,15.08,16.12,24.27,28.46,34.20,42.63,54.35,57.35,66.45,80.36,86.58,91.83,96.28,82.63,80.96,84.48,84.13,83.69,76.93,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,198.15,207.83,223.59,284.55,336.95,353.46,382.63,447.96,474.52,435.40,430.34,461.74,410.90,405.58,394.57,352.45,346.15,347.30,390.43,385.66,364.56,..,..
Angola,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.55,13.04,14.43,16.92,23.34,22.95,21.40,26.35,29.37,18.62,18.70,21.94,21.46,30.51,35.14,36.09,33.13,38.51,30.43,26.29,18.85,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115.37,129.91,126.87,142.13,144.91,173.07,200.91,231.45,220.56,153.41,177.95,184.02,201.70,196.84,208.42,184.63,223.60,208.69,201.07,194.50,192.36,..,..
Argentina,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,205.17,197.88,66.78,73.73,85.71,129.23,147.03,178.11,224.82,204.72,262.48,323.41,355.31,379.52,346.31,395.48,339.84,394.23,312.40,256.98,209.11,..,..
Armenia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.70,15.98,43.84,49.94,50.57,59.33,75.49,98.10,185.41,181.38,225.32,254.60,261.57,327.95,337.25,302.79,295.35,353.30,370.34,465.92,429.36,..,..
Aruba,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,343.62,318.81,351.33,429.05,530.60,592.06,630.80,725.01,782.04,764.39,982.62,"1,132.93","1,210.34","1,140.99","1,094.22",915.67,924.28,965.31,951.34,816.22,812.57,..,..
Austria,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,404.41,421.42,464.93,583.88,693.84,711.78,730.24,842.28,922.73,889.75,893.03,968.43,927.37,"1,003.68","1,030.08",880.64,906.34,945.94,983.40,942.35,938.53,..,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.02,13.31,14.72,16.20,17.79,20.24,27.90,39.05,57.01,70.50,82.60,103.21,132.04,150.39,171.04,149.05,108.28,109.94,120.85,131.01,124.68,..,..
"Bahamas, The",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,257.42,279.58,292.03,301.72,316.11,346.24,364.76,383.48,392.31,377.31,392.34,396.68,429.02,427.98,450.61,473.74,474.75,504.49,525.21,506.29,402.31,..,..
Bahrain,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117.02,117.44,127.11,178.74,169.33,158.51,158.14,208.07,207.06,223.67,231.72,241.48,276.31,299.12,293.75,293.75,311.07,351.54,314.76,307.11,294.76,..,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.33,5.54,5.90,6.50,7.01,7.60,8.13,9.57,10.85,12.37,14.37,15.88,16.32,19.08,21.44,24.37,28.28,29.63,31.63,34.34,37.49,..,..
Barbados,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,242.70,242.04,249.57,288.14,315.21,336.50,363.27,384.17,403.03,423.39,425.37,492.10,501.22,518.97,518.71,505.46,510.40,534.78,555.21,547.28,486.95,..,..
Belarus,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.90,14.81,19.28,21.31,26.39,41.58,52.61,69.95,101.37,86.89,97.03,104.17,109.38,150.00,152.86,127.79,77.62,87.85,87.08,100.26,101.07,..,..
Belgium,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,374.19,368.25,435.10,584.03,660.64,681.45,716.51,835.91,926.29,912.48,893.69,966.35,905.37,965.32,976.40,829.46,819.70,852.75,916.24,945.77,803.63,..,..
Belize,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.93,54.56,56.84,57.57,57.86,56.43,55.34,56.66,57.50,58.93,59.75,62.17,62.54,64.52,65.36,66.10,70.16,67.40,66.49,72.64,60.94,..,..
Benin,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.17,8.24,9.04,11.25,12.31,12.09,12.57,13.40,14.03,13.80,13.61,14.83,14.21,14.69,14.69,12.26,12.04,12.46,13.18,12.55,13.23,..,..
Bermuda,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.59,2.85,3.71,7.10,7.49,7.84,7.99,9.24,8.87,9.85,11.87,12.64,17.15,17.47,18.38,19.11,19.56,13.76,13.39,20.52,20.62,..,..
Bolivia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.39,14.85,14.75,14.85,15.09,16.53,18.05,19.52,23.61,26.87,33.27,38.76,46.26,54.10,55.07,53.27,57.70,53.39,50.68,57.38,51.28,..,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.75,43.47,45.71,54.82,94.87,109.28,126.72,161.31,201.90,125.38,122.16,134.61,129.83,137.84,142.36,123.89,128.59,136.79,154.71,159.67,170.71,..,..
Botswana,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.45,18.65,17.52,22.97,24.80,23.25,20.80,20.09,18.34,17.73,18.91,19.01,17.21,15.83,14.96,12.82,12.23,13.31,21.43,18.38,16.85,..,..
Brazil,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113.66,101.57,89.44,88.79,104.11,137.60,166.33,198.78,217.77,224.54,262.64,301.22,283.08,275.52,285.63,193.34,194.37,229.35,214.31,211.59,156.91,..,..
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.33,77.95,77.51,91.08,104.42,105.08,95.51,88.94,78.65,69.26,65.14,72.86,76.75,78.49,57.62,36.43,33.96,34.63,36.62,37.73,38.75,..,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.16,52.37,58.95,74.50,91.39,104.06,125.43,153.86,194.19,203.78,209.13,247.16,266.74,229.18,243.56,221.65,243.24,270.80,279.53,271.99,313.42,..,..
Burkina Faso,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.11,3.21,3.26,3.82,5.20,5.38,6.37,7.41,8.95,9.65,9.92,11.12,10.94,14.22,13.08,11.69,12.44,13.64,13.98,14.25,18.77,..,..
Burundi,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.56,3.50,3.31,3.03,3.52,4.48,5.76,6.45,6.47,6.67,7.08,6.07,4.61,4.35,5.76,5.68,5.44,5.73,5.23,5.10,4.96,..,..
Cabo Verde,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.88,14.65,16.05,20.18,21.94,23.26,26.48,28.78,30.70,30.97,40.12,39.43,41.15,43.96,46.63,38.68,41.42,44.99,46.68,46.55,40.90,..,..
Cambodia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.58,14.10,14.94,15.58,16.32,19.80,17.29,15.07,25.03,28.14,28.08,39.46,41.73,44.15,43.14,41.58,45.89,46.69,57.44,74.22,70.16,..,..
Cameroon,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.32,20.13,22.05,27.25,30.85,31.67,32.73,36.46,40.09,38.85,37.63,40.20,37.67,39.47,39.87,35.19,35.85,38.00,41.70,40.56,39.60,..,..
Canada,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,332.38,327.40,341.93,389.26,445.83,505.80,601.32,658.39,695.43,665.47,788.89,818.69,823.43,794.34,763.01,683.11,721.53,753.05,768.21,764.34,698.53,766.97,..
Cayman Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.64,4.96,5.26,6.69,7.53,7.81,8.43,9.59,10.94,10.76,9.76,11.09,11.97,7.60,8.38,8.64,11.18,15.60,20.49,20.84,21.78,..,..
Chad,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.84,6.99,12.03,8.82,14.61,18.15,22.27,22.84,26.26,23.42,24.67,23.51,22.28,23.44,24.34,19.87,20.01,18.03,20.80,19.12,20.70,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,152.74,139.34,137.17,149.58,178.86,212.73,233.05,254.69,272.02,255.36,300.11,343.15,361.29,398.15,394.11,391.09,409.97,455.52,484.50,449.19,375.49,426.90,..
China,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.85,28.61,31.52,34.48,37.93,42.28,46.36,50.72,63.57,71.83,77.25,96.54,111.94,125.84,132.73,138.17,143.19,158.83,180.47,190.11,202.98,..,..
Colombia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.39,18.50,15.14,11.13,21.90,34.33,42.93,59.48,78.86,69.07,76.88,76.77,97.61,99.47,95.49,72.17,69.82,76.09,78.25,73.81,64.85,..,..
