"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.52,15.33,18.11,19.83,22.22,25.58,30.14,31.48,36.80,38.36,39.19,40.57,43.97,47.08,46.71,50.51,54.48,57.03,61.20,62.90,..
Albania,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.76,36.25,40.17,53.06,66.77,75.03,81.82,105.04,135.20,135.39,153.15,164.47,152.72,160.54,174.67,146.43,156.59,170.37,198.39,..,..,..,..
Algeria,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.38,15.98,16.52,17.73,26.60,31.03,36.97,45.76,58.13,60.73,70.15,84.66,91.03,96.39,100.97,86.45,84.65,88.33,87.99,87.47,80.30,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,443.56,465.23,500.52,636.97,754.27,791.24,856.52,"1,002.77","1,062.23",974.65,963.33,"1,033.61",919.81,907.90,894.72,754.37,773.11,806.30,925.70,868.09,895.23,..,..
Angola,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.37,15.31,17.26,20.10,27.65,28.26,28.17,36.59,44.97,34.21,33.48,39.48,39.67,50.59,55.80,53.78,49.14,57.11,45.27,38.57,27.29,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,217.02,233.29,231.11,245.42,249.90,282.69,310.85,345.29,339.03,273.58,299.59,307.01,327.76,321.28,335.87,315.52,358.61,344.15,338.48,332.75,329.10,..,..
Argentina,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,318.90,301.76,96.80,117.30,130.02,185.23,213.53,258.80,326.70,310.77,399.22,470.18,504.65,508.87,436.02,503.30,431.91,554.82,414.50,343.00,288.86,..,..
Armenia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.32,16.70,44.68,50.95,51.69,59.49,75.66,98.44,186.09,182.18,226.45,256.51,265.48,334.78,342.15,307.88,299.12,357.99,379.86,475.84,439.27,..,..
Aruba,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,460.91,450.66,494.93,642.17,781.67,848.85,904.99,"1,033.72","1,136.41","1,082.80","1,375.36","1,580.09","1,746.53","1,885.71","1,832.22","1,542.12","1,575.96","1,671.03","1,670.96","1,455.41","1,470.08",..,..
Austria,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,586.26,601.55,663.48,830.36,"1,004.53","1,014.73","1,054.22","1,218.27","1,325.76","1,338.38","1,325.23","1,411.38","1,347.11","1,457.04","1,482.32","1,270.56","1,301.83","1,293.22","1,361.96","1,320.31","1,319.64",..,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.02,13.31,14.72,16.20,17.79,20.24,27.90,39.05,57.01,70.50,82.60,103.21,132.04,150.39,171.04,149.05,108.28,109.94,120.85,131.01,124.68,..,..
"Bahamas, The",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,565.09,589.02,606.39,620.78,636.72,685.51,756.06,791.68,797.50,752.26,772.76,777.68,834.72,824.71,866.92,858.26,860.09,913.96,951.51,910.13,723.20,..,..
Bahrain,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,122.84,124.19,135.57,188.21,180.27,173.81,181.27,245.99,258.13,284.80,301.50,318.13,357.20,386.91,393.48,396.85,429.39,473.74,431.87,427.44,414.06,..,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.52,5.77,6.16,6.78,7.32,7.98,8.56,10.01,11.31,12.87,14.90,16.53,16.95,19.72,22.16,25.19,29.25,30.74,32.75,35.58,38.78,..,..
